shipping ID,order ID,shipping date,return date,shipping providers,delivery status
49,49,2023-03-25,2023-04-06,BlueDart,returned
50,50,2024-04-05,,IndiaPost,pending
51,51,2024-07-30,,DHL,delivered
52,52,2023-09-29,,BlueDart,delivered
53,53,2024-07-01,,BlueDart,delivered
54,54,2024-11-16,,BlueDart,in_transit
55,55,2023-05-25,,FedEx,delivered
56,56,2024-01-03,,IndiaPost,delivered
57,57,2023-07-21,,BlueDart,pending
58,58,2024-07-16,,BlueDart,delivered
59,59,2024-02-12,,Delhivery,delivered
60,60,2024-03-24,,IndiaPost,delivered
61,61,2024-07-14,,FedEx,delivered
62,62,2023-10-10,,Delhivery,delivered
63,63,2024-10-12,,Delhivery,delivered
64,64,2024-01-12,,FedEx,pending
65,65,2023-04-22,,Delhivery,delivered
66,66,2024-05-07,,FedEx,delivered
67,67,2024-07-19,,IndiaPost,pending
68,68,2023-08-20,,BlueDart,pending
69,69,2024-08-27,,DHL,pending
70,70,2024-09-27,2024-10-01,IndiaPost,returned
71,71,2023-07-20,,IndiaPost,pending
72,72,2024-11-24,,DHL,delivered
73,73,2023-04-10,,FedEx,pending
74,74,2023-05-27,,IndiaPost,delivered
75,75,2023-05-11,,FedEx,delivered
76,76,2024-09-20,,FedEx,delivered
77,77,2024-04-05,,BlueDart,delivered
78,78,2023-04-18,,IndiaPost,delivered
79,79,2023-11-13,,BlueDart,delivered
80,80,2024-03-07,,DHL,delivered
81,81,2023-03-05,,BlueDart,pending
82,82,2024-09-13,,BlueDart,cancelled
83,83,2024-07-18,,FedEx,delivered
84,84,2023-12-21,,IndiaPost,pending
85,85,2024-11-13,,IndiaPost,delivered
86,86,2023-10-26,,FedEx,cancelled
87,87,2024-11-20,,Delhivery,delivered
88,88,2024-04-16,,Delhivery,delivered
89,89,2024-03-22,,Delhivery,delivered
90,90,2023-05-03,,Delhivery,delivered
91,91,2024-09-18,,DHL,delivered
92,92,2023-11-05,,FedEx,delivered
93,93,2023-05-02,,BlueDart,delivered
94,94,2023-01-18,,IndiaPost,delivered
95,95,2024-02-02,,IndiaPost,delivered
96,96,2024-01-06,2024-01-18,IndiaPost,returned
97,97,2024-05-25,,Delhivery,delivered
98,98,2024-09-22,,DHL,delivered
99,99,2023-02-26,,Delhivery,in_transit
100,100,2024-06-03,,DHL,pending
101,101,2023-05-20,,DHL,delivered
102,102,2024-08-29,,DHL,pending
103,103,2024-07-29,,FedEx,delivered
104,104,2024-01-19,,DHL,delivered
105,105,2024-05-14,,DHL,delivered
106,106,2023-08-14,,FedEx,in_transit
107,107,2023-12-05,,Delhivery,delivered
108,108,2024-08-02,,IndiaPost,in_transit
109,109,2023-11-24,,Delhivery,delivered
110,110,2023-09-10,,DHL,in_transit
111,111,2023-12-18,,IndiaPost,delivered
112,112,2024-08-09,,Delhivery,delivered
113,113,2023-08-24,,IndiaPost,delivered
114,114,2023-05-12,,Delhivery,in_transit
115,115,2024-05-19,,IndiaPost,delivered
116,116,2024-08-03,,IndiaPost,pending
117,117,2023-03-17,,FedEx,in_transit
118,118,2023-06-20,,IndiaPost,delivered
119,119,2023-04-18,2023-04-23,FedEx,returned
120,120,2023-09-09,,DHL,in_transit
121,121,2023-11-13,,IndiaPost,delivered
122,122,2024-06-11,,DHL,delivered
123,123,2024-04-02,,Delhivery,delivered
124,124,2024-03-16,,Delhivery,delivered
125,125,2023-09-08,,FedEx,delivered
126,126,2024-08-21,,BlueDart,delivered
127,127,2023-12-03,,IndiaPost,in_transit
128,128,2024-11-18,,BlueDart,delivered
129,129,2024-03-21,,DHL,pending
130,130,2023-04-05,,DHL,delivered
131,131,2024-04-20,,IndiaPost,delivered
132,132,2023-08-18,,DHL,pending
133,133,2024-04-27,,Delhivery,in_transit
134,134,2023-02-25,,FedEx,delivered
135,135,2023-05-06,,BlueDart,delivered
136,136,2024-08-30,,DHL,delivered
137,137,2023-06-11,,IndiaPost,delivered
138,138,2024-08-13,,BlueDart,delivered
139,139,2023-07-19,,Delhivery,in_transit
140,140,2024-04-01,,Delhivery,delivered
141,141,2024-05-10,,Delhivery,delivered
142,142,2023-12-29,,DHL,delivered
143,143,2023-08-07,,BlueDart,delivered
144,144,2023-05-31,,DHL,delivered
145,145,2023-01-25,,Delhivery,delivered
146,146,2023-08-08,,IndiaPost,delivered
147,147,2024-04-04,,IndiaPost,pending
148,148,2024-10-25,,DHL,delivered
149,149,2024-09-07,,FedEx,cancelled
150,150,2024-06-21,,BlueDart,delivered
151,151,2024-07-10,,BlueDart,delivered
152,152,2024-04-18,,FedEx,in_transit
153,153,2023-07-05,,IndiaPost,pending
154,154,2024-10-03,,IndiaPost,delivered
155,155,2024-04-20,,IndiaPost,in_transit
156,156,2024-02-01,,Delhivery,pending
157,157,2023-03-21,,FedEx,pending
158,158,2023-11-10,,Delhivery,delivered
159,159,2023-11-27,,IndiaPost,pending
160,160,2024-09-01,,BlueDart,pending
161,161,2024-01-26,,DHL,in_transit
162,162,2023-09-26,,Delhivery,pending
163,163,2024-11-17,2024-11-28,DHL,returned
164,164,2023-03-22,,BlueDart,delivered
165,165,2023-10-24,,DHL,delivered
166,166,2023-02-07,,IndiaPost,delivered
167,167,2024-06-04,,DHL,delivered
168,168,2024-10-10,,FedEx,delivered
169,169,2023-07-17,,BlueDart,delivered
170,170,2024-09-01,,DHL,delivered
171,171,2023-07-29,,Delhivery,in_transit
172,172,2024-10-05,,DHL,pending
173,173,2024-06-14,,Delhivery,delivered
174,174,2024-07-22,,Delhivery,cancelled
175,175,2023-01-14,,FedEx,delivered
176,176,2024-11-13,,FedEx,pending
177,177,2024-06-01,,Delhivery,pending
178,178,2023-08-09,,IndiaPost,delivered
179,179,2024-08-04,,Delhivery,delivered
180,180,2023-07-27,,FedEx,delivered
181,181,2024-09-09,,DHL,pending
182,182,2023-03-30,,IndiaPost,pending
183,183,2024-05-10,,DHL,delivered
184,184,2024-01-20,,BlueDart,delivered
185,185,2023-03-13,,FedEx,delivered
186,186,2023-06-23,,FedEx,delivered
187,187,2023-01-16,2023-01-22,DHL,returned
188,188,2023-11-26,,DHL,delivered
189,189,2023-08-01,,IndiaPost,cancelled
190,190,2024-02-24,,FedEx,pending
191,191,2023-08-07,2023-08-20,BlueDart,returned
192,192,2023-08-08,,DHL,delivered
193,193,2024-06-14,,IndiaPost,delivered
194,194,2023-02-07,,Delhivery,delivered
195,195,2024-09-26,,BlueDart,in_transit
196,196,2024-08-29,,Delhivery,in_transit
197,197,2024-04-14,,DHL,delivered
198,198,2024-02-25,,BlueDart,pending
199,199,2024-09-17,,IndiaPost,delivered
200,200,2023-05-11,,BlueDart,delivered
201,201,2023-03-07,,BlueDart,delivered
202,202,2023-06-27,,DHL,delivered
203,203,2024-07-19,,FedEx,delivered
204,204,2023-01-27,,FedEx,delivered
205,205,2024-02-15,,DHL,pending
206,206,2024-12-07,,FedEx,pending
207,207,2024-08-29,,Delhivery,delivered
208,208,2024-01-03,,BlueDart,in_transit
209,209,2023-02-24,,BlueDart,delivered
210,210,2024-08-07,,Delhivery,delivered
211,211,2024-02-27,,DHL,in_transit
212,212,2023-03-31,,BlueDart,in_transit
213,213,2023-03-16,,Delhivery,in_transit
214,214,2024-10-06,,BlueDart,in_transit
215,215,2024-04-18,,DHL,in_transit
216,216,2024-08-05,,FedEx,delivered
217,217,2024-09-13,,Delhivery,pending
218,218,2024-02-15,,DHL,delivered
219,219,2024-01-03,,BlueDart,pending
220,220,2023-11-08,,DHL,delivered
221,221,2023-08-13,,DHL,delivered
222,222,2023-11-07,,Delhivery,in_transit
223,223,2024-06-30,,BlueDart,delivered
224,224,2024-03-01,,IndiaPost,pending
225,225,2024-09-21,,IndiaPost,delivered
226,226,2023-11-13,,FedEx,in_transit
227,227,2024-03-01,,IndiaPost,delivered
228,228,2024-03-20,,FedEx,delivered
229,229,2024-02-26,,Delhivery,delivered
230,230,2024-05-13,,IndiaPost,in_transit
231,231,2023-06-21,,FedEx,in_transit
232,232,2023-12-28,,DHL,delivered
233,233,2023-03-22,2023-04-05,DHL,returned
234,234,2023-10-01,,FedEx,in_transit
235,235,2023-12-17,,DHL,cancelled
236,236,2024-04-08,,FedEx,delivered
237,237,2024-11-06,,DHL,delivered
238,238,2024-03-03,,BlueDart,delivered
239,239,2024-06-11,,FedEx,delivered
240,240,2023-12-26,,Delhivery,delivered
241,241,2024-03-28,,FedEx,delivered
242,242,2023-02-21,,DHL,delivered
243,243,2023-06-30,,Delhivery,in_transit
244,244,2023-09-12,2023-09-19,Delhivery,returned
245,245,2023-12-03,,Delhivery,pending
246,246,2023-02-03,,IndiaPost,delivered
247,247,2023-04-12,,BlueDart,delivered
248,248,2023-07-23,,Delhivery,delivered
249,249,2024-11-14,,BlueDart,delivered
250,250,2023-08-28,,Delhivery,delivered
251,251,2023-12-07,,DHL,delivered
252,252,2023-05-23,,IndiaPost,delivered
253,253,2024-03-07,,Delhivery,in_transit
254,254,2023-07-17,,IndiaPost,in_transit
255,255,2023-06-01,,Delhivery,delivered
256,256,2024-01-05,,FedEx,delivered
257,257,2023-01-12,,BlueDart,pending
258,258,2023-01-14,,DHL,delivered
259,259,2023-06-13,,DHL,delivered
260,260,2023-02-04,,Delhivery,delivered
261,261,2023-03-21,,IndiaPost,delivered
262,262,2023-09-02,,Delhivery,delivered
263,263,2024-07-23,,FedEx,pending
264,264,2024-02-13,,Delhivery,delivered
265,265,2024-01-03,,BlueDart,delivered
266,266,2023-07-27,,IndiaPost,delivered
267,267,2024-10-15,,Delhivery,pending
268,268,2023-10-13,,IndiaPost,delivered
269,269,2023-03-03,,BlueDart,delivered
270,270,2024-03-16,,IndiaPost,delivered
271,271,2023-03-24,,FedEx,delivered
272,272,2023-09-04,,FedEx,delivered
273,273,2023-12-23,,DHL,delivered
274,274,2024-09-12,,BlueDart,pending
275,275,2023-12-22,2024-01-06,DHL,returned
276,276,2024-05-10,,DHL,delivered
277,277,2024-12-01,,DHL,delivered
278,278,2023-04-05,,IndiaPost,delivered
279,279,2023-07-16,,DHL,pending
280,280,2023-10-08,,Delhivery,delivered
281,281,2023-10-25,,IndiaPost,pending
282,282,2023-10-21,,FedEx,in_transit
283,283,2024-10-05,,DHL,cancelled
284,284,2024-05-24,,FedEx,pending
285,285,2024-03-04,,BlueDart,pending
286,286,2023-08-06,,Delhivery,delivered
287,287,2024-08-08,,DHL,delivered
288,288,2024-11-02,,IndiaPost,delivered
289,289,2024-08-01,,DHL,delivered
290,290,2023-01-09,,IndiaPost,in_transit
291,291,2024-03-28,,FedEx,delivered
292,292,2023-02-07,,Delhivery,in_transit
293,293,2023-07-07,,Delhivery,delivered
294,294,2023-02-14,,DHL,in_transit
295,295,2024-02-28,,Delhivery,delivered
296,296,2024-04-27,,Delhivery,delivered
297,297,2023-03-30,,BlueDart,delivered
298,298,2023-09-29,,IndiaPost,pending
299,299,2023-11-26,,IndiaPost,delivered
300,300,2023-09-22,,DHL,delivered
301,301,2023-03-28,,IndiaPost,delivered
302,302,2023-10-24,,IndiaPost,in_transit
303,303,2024-06-16,,FedEx,delivered
304,304,2023-02-26,2023-03-13,Delhivery,returned
305,305,2023-02-27,,Delhivery,delivered
306,306,2023-09-15,,DHL,delivered
307,307,2024-10-28,,Delhivery,in_transit
308,308,2024-04-23,,DHL,delivered
309,309,2024-04-27,,Delhivery,pending
310,310,2023-09-13,,DHL,delivered
311,311,2024-02-22,2024-03-07,FedEx,returned
312,312,2023-01-09,,BlueDart,in_transit
313,313,2024-03-30,,BlueDart,pending
314,314,2024-10-06,,DHL,delivered
315,315,2024-03-05,,Delhivery,delivered
316,316,2024-09-07,,BlueDart,in_transit
317,317,2024-05-31,,IndiaPost,in_transit
318,318,2023-03-27,,BlueDart,delivered
319,319,2024-10-03,,IndiaPost,delivered
320,320,2023-02-19,,FedEx,delivered
321,321,2024-01-17,,IndiaPost,in_transit
322,322,2023-04-17,,DHL,delivered
323,323,2023-01-17,,Delhivery,delivered
324,324,2023-10-27,,IndiaPost,delivered
325,325,2023-08-02,,FedEx,delivered
326,326,2023-12-08,,Delhivery,delivered
327,327,2024-02-18,2024-03-02,BlueDart,returned
328,328,2023-02-07,,DHL,delivered
329,329,2023-04-01,,IndiaPost,cancelled
330,330,2024-01-31,,FedEx,delivered
331,331,2023-09-02,,BlueDart,delivered
332,332,2024-06-04,,BlueDart,delivered
333,333,2024-04-11,,BlueDart,in_transit
334,334,2024-08-20,,FedEx,in_transit
335,335,2024-04-30,,BlueDart,delivered
336,336,2023-11-04,,DHL,delivered
337,337,2024-04-23,,FedEx,cancelled
338,338,2023-07-19,2023-07-26,IndiaPost,returned
339,339,2023-08-11,,IndiaPost,delivered
340,340,2024-07-13,,BlueDart,in_transit
341,341,2023-11-10,,BlueDart,delivered
342,342,2024-07-18,,IndiaPost,delivered
343,343,2024-08-04,,IndiaPost,delivered
344,344,2024-08-24,,DHL,delivered
345,345,2024-10-12,,DHL,pending
346,346,2023-10-30,,IndiaPost,delivered
347,347,2023-08-13,,Delhivery,delivered
348,348,2024-02-18,,Delhivery,pending
349,349,2023-09-18,,DHL,delivered
350,350,2024-03-06,,Delhivery,delivered
351,351,2024-05-09,,BlueDart,pending
352,352,2024-05-05,,Delhivery,delivered
353,353,2023-09-24,,Delhivery,delivered
354,354,2023-04-28,,FedEx,delivered
355,355,2023-11-05,,BlueDart,delivered
356,356,2023-04-20,,Delhivery,pending
357,357,2024-09-18,,IndiaPost,in_transit
358,358,2023-09-06,,DHL,delivered
359,359,2023-04-20,,FedEx,delivered
360,360,2023-01-28,2023-01-31,IndiaPost,returned
361,361,2024-04-06,,DHL,delivered
362,362,2024-03-22,,IndiaPost,delivered
363,363,2023-09-02,2023-09-07,Delhivery,returned
364,364,2023-02-26,2023-03-07,IndiaPost,returned
365,365,2023-10-21,,FedEx,delivered
366,366,2023-08-11,,FedEx,delivered
367,367,2024-04-23,,DHL,delivered
368,368,2024-03-02,,DHL,delivered
369,369,2023-09-23,,Delhivery,in_transit
370,370,2023-06-12,,FedEx,delivered
371,371,2024-11-27,,IndiaPost,delivered
372,372,2023-11-16,,Delhivery,delivered
373,373,2024-04-29,2024-05-12,BlueDart,returned
374,374,2023-04-14,,BlueDart,delivered
375,375,2023-12-10,,FedEx,delivered
376,376,2023-01-27,2023-02-10,Delhivery,returned
377,377,2023-12-22,,DHL,delivered
378,378,2024-11-12,,DHL,delivered
379,379,2023-09-27,,DHL,delivered
380,380,2023-02-03,,FedEx,delivered
381,381,2023-01-23,,Delhivery,delivered
382,382,2023-10-02,,IndiaPost,delivered
383,383,2023-05-03,,IndiaPost,delivered
384,384,2023-01-27,,FedEx,delivered
385,385,2024-06-23,,IndiaPost,delivered
386,386,2023-11-18,,IndiaPost,delivered
387,387,2023-07-30,,Delhivery,delivered
388,388,2024-09-29,,FedEx,delivered
389,389,2023-03-25,,FedEx,cancelled
390,390,2024-11-10,,BlueDart,delivered
391,391,2023-08-10,,IndiaPost,delivered
392,392,2024-09-22,,Delhivery,in_transit
393,393,2024-02-29,,Delhivery,delivered
394,394,2024-08-06,,DHL,in_transit
395,395,2024-11-29,,IndiaPost,in_transit
396,396,2023-07-30,,FedEx,in_transit
397,397,2024-11-07,,BlueDart,in_transit
398,398,2023-10-07,,IndiaPost,delivered
399,399,2023-10-05,,Delhivery,in_transit
400,400,2023-09-05,,Delhivery,delivered
401,401,2024-01-19,,Delhivery,delivered
402,402,2023-04-28,,DHL,cancelled
403,403,2024-01-24,,DHL,delivered
404,404,2024-01-19,2024-01-22,FedEx,returned
405,405,2024-06-20,,DHL,delivered
406,406,2024-08-08,,DHL,delivered
407,407,2023-11-13,,IndiaPost,delivered
408,408,2023-08-08,,IndiaPost,in_transit
409,409,2023-07-06,,Delhivery,delivered
410,410,2023-05-27,,FedEx,delivered
411,411,2023-02-12,,BlueDart,delivered
412,412,2023-08-30,,BlueDart,in_transit
413,413,2023-07-17,,FedEx,delivered
414,414,2024-11-14,,DHL,pending
415,415,2024-02-03,,DHL,delivered
416,416,2023-09-07,,BlueDart,delivered
417,417,2024-02-17,,Delhivery,delivered
418,418,2023-04-09,2023-04-22,DHL,returned
419,419,2023-11-08,,IndiaPost,delivered
420,420,2024-03-19,,FedEx,delivered
421,421,2023-12-13,,Delhivery,pending
422,422,2023-10-17,,BlueDart,delivered
423,423,2024-12-02,,FedEx,in_transit
424,424,2024-09-12,,FedEx,delivered
425,425,2024-03-14,,Delhivery,delivered
426,426,2024-02-09,,DHL,delivered
427,427,2024-03-18,,DHL,delivered
428,428,2023-05-27,,Delhivery,pending
429,429,2023-10-07,,IndiaPost,pending
430,430,2023-01-31,,BlueDart,delivered
431,431,2023-12-09,,Delhivery,cancelled
432,432,2024-01-22,,Delhivery,delivered
433,433,2023-06-10,,Delhivery,delivered
434,434,2024-11-14,,BlueDart,in_transit
435,435,2024-10-02,,Delhivery,in_transit
436,436,2024-05-29,,BlueDart,delivered
437,437,2024-01-16,,IndiaPost,in_transit
438,438,2024-09-01,,BlueDart,delivered
439,439,2023-04-06,,DHL,in_transit
440,440,2024-07-17,,BlueDart,pending
441,441,2023-03-30,,FedEx,delivered
442,442,2024-07-13,,IndiaPost,delivered
443,443,2023-07-20,,DHL,in_transit
444,444,2024-09-13,,DHL,in_transit
445,445,2024-10-27,,FedEx,delivered
446,446,2023-04-24,,Delhivery,delivered
447,447,2023-11-27,2023-12-08,BlueDart,returned
448,448,2024-11-25,,IndiaPost,delivered
449,449,2023-12-11,,Delhivery,delivered
450,450,2024-09-03,,FedEx,delivered
451,451,2024-02-25,,Delhivery,delivered
452,452,2023-09-26,,BlueDart,cancelled
453,453,2023-07-24,,BlueDart,in_transit
454,454,2023-05-29,,Delhivery,delivered
455,455,2024-06-19,,Delhivery,in_transit
456,456,2023-10-04,,DHL,in_transit
457,457,2023-12-28,,FedEx,delivered
458,458,2023-12-16,,DHL,delivered
459,459,2024-02-17,,FedEx,in_transit
460,460,2024-09-02,,BlueDart,delivered
461,461,2024-11-21,,IndiaPost,delivered
462,462,2023-10-23,,IndiaPost,delivered
463,463,2024-08-05,2024-08-11,Delhivery,returned
464,464,2024-06-27,,Delhivery,delivered
465,465,2024-02-07,2024-02-15,BlueDart,returned
466,466,2024-11-09,,DHL,delivered
467,467,2023-05-23,,BlueDart,in_transit
468,468,2023-03-21,,BlueDart,delivered
469,469,2024-08-21,,Delhivery,delivered
470,470,2023-11-12,,FedEx,delivered
471,471,2024-08-24,,DHL,delivered
472,472,2024-09-18,,FedEx,pending
473,473,2023-02-14,,DHL,in_transit
474,474,2024-09-14,,IndiaPost,delivered
475,475,2023-11-18,,DHL,cancelled
476,476,2024-01-02,,FedEx,delivered
477,477,2024-03-16,,IndiaPost,delivered
478,478,2024-10-11,,Delhivery,delivered
479,479,2023-01-16,,IndiaPost,delivered
480,480,2023-12-01,,FedEx,in_transit
481,481,2024-04-30,,IndiaPost,delivered
482,482,2024-05-23,,DHL,delivered
483,483,2024-04-30,,FedEx,delivered
484,484,2023-04-14,,IndiaPost,delivered
485,485,2023-08-01,,FedEx,delivered
486,486,2023-09-13,,IndiaPost,delivered
487,487,2024-07-22,,Delhivery,delivered
488,488,2023-07-17,,Delhivery,pending
489,489,2023-06-04,,Delhivery,delivered
490,490,2024-11-02,,FedEx,delivered
491,491,2023-01-17,,FedEx,delivered
492,492,2024-12-09,,DHL,cancelled
493,493,2024-04-19,,Delhivery,delivered
494,494,2024-08-12,2024-08-25,DHL,returned
495,495,2023-08-03,2023-08-14,DHL,returned
496,496,2023-01-17,,FedEx,pending
497,497,2024-06-08,,BlueDart,delivered
498,498,2024-08-15,,DHL,delivered
499,499,2024-06-11,,FedEx,delivered
500,500,2023-04-16,,FedEx,pending
501,501,2024-06-13,,Delhivery,pending
502,502,2024-06-29,2024-07-13,Delhivery,returned
503,503,2024-04-12,,IndiaPost,in_transit
504,504,2024-06-22,,IndiaPost,delivered
505,505,2024-08-25,,BlueDart,delivered
506,506,2024-03-06,,IndiaPost,delivered
507,507,2023-03-12,,BlueDart,delivered
508,508,2023-12-15,,IndiaPost,in_transit
509,509,2023-03-01,,FedEx,cancelled
510,510,2023-10-18,,Delhivery,delivered
511,511,2023-10-17,,IndiaPost,pending
512,512,2023-02-26,,FedEx,pending
513,513,2023-09-03,,Delhivery,delivered
514,514,2023-03-24,,Delhivery,delivered
515,515,2024-07-23,,Delhivery,in_transit
516,516,2024-11-04,,BlueDart,delivered
517,517,2023-02-25,,BlueDart,delivered
518,518,2024-11-06,,Delhivery,delivered
519,519,2024-01-03,2024-01-14,FedEx,returned
520,520,2023-08-05,,FedEx,delivered
521,521,2023-02-26,,BlueDart,in_transit
522,522,2023-12-20,,BlueDart,pending
523,523,2024-07-13,,Delhivery,in_transit
524,524,2024-05-17,,DHL,delivered
525,525,2023-02-13,,IndiaPost,in_transit
526,526,2023-02-24,,BlueDart,delivered
527,527,2023-10-17,,BlueDart,delivered
528,528,2023-07-28,2023-08-11,BlueDart,returned
529,529,2023-06-13,,IndiaPost,delivered
530,530,2023-07-22,,Delhivery,in_transit
531,531,2024-07-21,,IndiaPost,delivered
532,532,2024-10-13,,BlueDart,delivered
533,533,2023-10-14,2023-10-26,Delhivery,returned
534,534,2024-10-03,,FedEx,pending
535,535,2023-08-15,,Delhivery,delivered
536,536,2023-12-03,2023-12-13,Delhivery,returned
537,537,2023-06-17,,DHL,in_transit
538,538,2024-03-29,,BlueDart,delivered
539,539,2024-11-23,,DHL,in_transit
540,540,2024-03-04,,FedEx,delivered
541,541,2023-09-14,,IndiaPost,delivered
542,542,2024-04-08,,DHL,delivered
543,543,2023-03-31,,Delhivery,delivered
544,544,2024-09-16,,Delhivery,delivered
545,545,2023-12-28,,DHL,pending
546,546,2023-11-21,,Delhivery,in_transit
547,547,2024-02-21,,DHL,delivered
548,548,2024-03-20,,Delhivery,pending
549,549,2023-03-01,,IndiaPost,delivered
550,550,2024-05-01,,IndiaPost,in_transit
551,551,2023-06-26,,BlueDart,delivered
552,552,2024-05-19,,BlueDart,pending
553,553,2024-08-08,,BlueDart,cancelled
554,554,2024-07-26,,FedEx,pending
555,555,2024-01-26,,IndiaPost,cancelled
556,556,2024-01-04,,FedEx,delivered
557,557,2023-04-21,,IndiaPost,pending
558,558,2024-07-04,,Delhivery,delivered
559,559,2023-07-14,,FedEx,delivered
560,560,2023-12-20,,FedEx,in_transit
561,561,2023-07-22,,BlueDart,in_transit
562,562,2023-04-14,,Delhivery,delivered
563,563,2024-03-18,,DHL,delivered
564,564,2023-02-17,,DHL,delivered
565,565,2024-06-09,,BlueDart,delivered
566,566,2023-08-14,,FedEx,delivered
567,567,2023-01-05,,IndiaPost,delivered
568,568,2024-01-02,,BlueDart,delivered
569,569,2023-02-07,2023-02-14,BlueDart,returned
570,570,2023-07-22,,BlueDart,pending
571,571,2024-05-17,,Delhivery,delivered
572,572,2023-02-20,2023-03-05,DHL,returned
573,573,2024-08-12,,FedEx,in_transit
574,574,2023-01-08,,DHL,delivered
575,575,2023-06-27,,DHL,delivered
576,576,2024-06-07,,Delhivery,delivered
577,577,2023-08-14,,FedEx,delivered
578,578,2023-03-17,,DHL,delivered
579,579,2023-09-18,,Delhivery,delivered
580,580,2023-07-13,,IndiaPost,delivered
581,581,2024-08-19,,DHL,pending
582,582,2023-08-09,,IndiaPost,delivered
583,583,2024-07-16,,DHL,in_transit
584,584,2024-09-17,,Delhivery,delivered
585,585,2023-11-09,2023-11-22,IndiaPost,returned
586,586,2024-10-04,,FedEx,delivered
587,587,2023-09-30,,BlueDart,cancelled
588,588,2024-11-11,,FedEx,pending
589,589,2023-03-08,,FedEx,in_transit
590,590,2024-05-03,,IndiaPost,in_transit
591,591,2023-12-22,,IndiaPost,delivered
592,592,2023-10-04,2023-10-10,Delhivery,returned
593,593,2024-03-26,,Delhivery,delivered
594,594,2024-05-14,,Delhivery,delivered
595,595,2023-01-08,,Delhivery,delivered
596,596,2023-04-29,,BlueDart,delivered
597,597,2024-05-23,,FedEx,in_transit
598,598,2024-04-15,,FedEx,cancelled
599,599,2024-11-12,,IndiaPost,delivered
600,600,2024-06-19,2024-06-27,IndiaPost,returned
601,601,2024-11-06,,IndiaPost,delivered
602,602,2024-05-07,,IndiaPost,delivered
603,603,2023-07-29,,FedEx,delivered
604,604,2023-03-18,,IndiaPost,in_transit
605,605,2024-07-06,,DHL,delivered
606,606,2024-04-05,,IndiaPost,delivered
607,607,2023-02-06,,Delhivery,delivered
608,608,2023-09-18,,BlueDart,delivered
609,609,2024-11-09,,IndiaPost,in_transit
610,610,2023-12-23,,IndiaPost,delivered
611,611,2023-11-02,,DHL,delivered
612,612,2023-11-21,,BlueDart,delivered
613,613,2023-06-01,,IndiaPost,delivered
614,614,2023-09-23,,IndiaPost,delivered
615,615,2023-09-18,,BlueDart,delivered
616,616,2023-02-12,,DHL,in_transit
617,617,2024-06-23,,IndiaPost,delivered
618,618,2023-10-22,,BlueDart,delivered
619,619,2024-07-31,,IndiaPost,delivered
620,620,2024-08-25,,FedEx,delivered
621,621,2023-06-06,,BlueDart,delivered
622,622,2024-04-12,,Delhivery,delivered
623,623,2023-11-28,,BlueDart,delivered
624,624,2024-09-17,,DHL,pending
625,625,2023-06-11,,DHL,delivered
626,626,2024-04-26,,IndiaPost,in_transit
627,627,2024-03-02,,IndiaPost,delivered
628,628,2023-07-28,,DHL,delivered
629,629,2023-04-07,,FedEx,in_transit
630,630,2024-04-08,,BlueDart,delivered
631,631,2024-06-08,,Delhivery,delivered
632,632,2023-08-15,,Delhivery,in_transit
633,633,2024-04-05,,DHL,pending
